ID,File Name,카테고리_니트웨어,카테고리_블라우스,카테고리_티셔츠,소매기장_7부소매,소매기장_긴팔,소매기장_민소매,소매기장_반팔
1229113,"1-(9)-005-272-2,351-7,514-FisrtGI_355_04.jpg",0,1,0,0,0,0,1
1229114,"1-(9)-005-272-2,351-7,514-FisrtGI_355_05.jpg",0,1,0,0,0,0,1
1231679,"1-(9)-008-275-2,526-14,877-FLY_349_01.jpg",0,0,0,0,0,0,0
1231680,"1-(9)-008-275-2,526-14,877-FLY_349_02.jpg",0,0,0,0,0,0,0
1231681,"1-(9)-008-275-2,526-14,877-FLY_349_03.jpg",0,0,1,0,0,0,1
1231682,"1-(9)-008-275-2,526-14,877-FLY_349_04.jpg",0,0,0,0,0,0,0
1231683,"1-(9)-008-275-2,526-14,877-FLY_349_05.jpg",0,0,1,0,0,0,1
1231686,"1-(9)-008-275-2,526-14,877-FLY_349_11_1.jpg",0,0,1,0,0,0,1
1231687,"1-(9)-008-275-2,526-14,877-FLY_349_11_2.jpg",0,0,1,0,0,0,1
1231688,"1-(9)-008-275-2,526-14,877-FLY_349_11_3.jpg",0,0,0,0,0,0,0
1231689,"1-(9)-008-275-2,526-14,877-FLY_349_11_4.jpg",0,0,1,0,0,0,1
1231690,"1-(9)-008-275-2,526-14,877-FLY_349_11_5.jpg",0,0,0,0,0,0,0
1231691,"1-(9)-008-275-2,526-14,877-FLY_349_11_6.jpg",0,0,0,0,0,0,0
1231692,"1-(9)-008-275-2,526-14,877-FLY_349_11_7.jpg",0,0,0,0,0,0,0
1231693,"1-(9)-008-275-2,526-14,877-FLY_349_11_8.jpg",0,0,0,0,0,0,0
1231847,"1-(9)-008-275-2,526-14,877-FLY_367_02.jpg",0,0,1,0,1,0,0
1231848,"1-(9)-008-275-2,526-14,877-FLY_367_03.jpg",0,0,0,0,0,0,0
1231849,"1-(9)-008-275-2,526-14,877-FLY_367_04.jpg",0,0,0,0,0,0,0
1231850,"1-(9)-008-275-2,526-14,877-FLY_367_05.jpg",0,0,0,0,0,0,0
1231851,"1-(9)-008-275-2,526-14,877-FLY_367_06.jpg",0,0,0,0,0,0,0
1231852,"1-(9)-008-275-2,526-14,877-FLY_367_07.jpg",0,0,0,0,0,0,0
1231853,"1-(9)-008-275-2,526-14,877-FLY_367_10.jpg",0,0,0,0,0,0,0
1231856,"1-(9)-008-275-2,526-14,877-FLY_367_30.jpg",0,0,0,0,0,0,0
809336,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6916.jpg",0,1,0,0,0,1,0
809337,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6920.jpg",0,1,0,0,0,1,0
809338,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6927.jpg",0,1,0,0,0,1,0
809339,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6931.jpg",0,1,0,0,0,1,0
809342,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6958.jpg",0,1,0,0,0,1,0
809344,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_6998.jpg",0,1,0,0,0,1,0
809345,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7003.jpg",0,1,0,0,0,1,0
809346,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7008.jpg",0,1,0,0,0,1,0
809347,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7016.jpg",0,1,0,0,0,1,0
809348,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7020.jpg",0,1,0,0,0,1,0
809349,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7024.jpg",0,1,0,0,0,1,0
809350,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7038.jpg",0,1,0,0,0,1,0
809353,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7050.jpg",0,1,0,0,0,1,0
809354,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7054.jpg",0,1,0,0,0,1,0
809355,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7058.jpg",0,1,0,0,0,1,0
809356,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7110.jpg",0,1,0,0,0,1,0
809357,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7116.jpg",0,1,0,0,0,1,0
809358,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7123.jpg",0,1,0,0,0,1,0
809359,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7127.jpg",0,1,0,0,0,1,0
809360,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7133.jpg",0,1,0,0,0,1,0
809363,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7151.jpg",0,1,0,0,0,1,0
809364,"1-bl789(3)-티아라(대행,도트나시bl)6.15-6-허리부분 몸매보정필수!!-IMG_7156.jpg",0,1,0,0,0,1,0
806677,"1-bl794(3)-탱크걸(대행,퍼프bl)6.19-4-얼굴컷-진주 선택-IMG_4499.jpg",0,1,0,0,0,0,1
806678,"1-bl794(3)-탱크걸(대행,퍼프bl)6.19-4-얼굴컷-진주 선택-IMG_4513.jpg",0,1,0,0,0,0,1
806679,"1-bl794(3)-탱크걸(대행,퍼프bl)6.19-4-얼굴컷-진주 선택-IMG_4527.jpg",0,1,0,0,0,0,1
806680,"1-bl794(3)-탱크걸(대행,퍼프bl)6.19-4-얼굴컷-진주 선택-IMG_4544.jpg",0,1,0,0,0,0,1
806681,"1-bl794(3)-탱크걸(대행,퍼프bl)6.19-4-얼굴컷-진주 선택-IMG_4596.jpg",0,1,0,0,0,0,1
806682,"1-bl794(3)-탱크걸(대행,퍼프bl)6.19-4-얼굴컷-진주 선택-IMG_4661.jpg",0,1,0,0,0,0,1
806683,"1-bl794(3)-탱크걸(대행,퍼프bl)6.19-4-얼굴컷-진주 선택-IMG_4679.jpg",0,1,0,0,0,0,1
806716,"1-bl808(4)-유니(대행,S)6.23-3-IMG_6783.jpg",0,0,1,0,0,0,1
806720,"1-bl808(4)-유니(대행,S)6.23-3-IMG_6806.jpg",0,1,0,0,0,0,1
806721,"1-bl808(4)-유니(대행,S)6.23-3-IMG_6811.jpg",0,1,0,0,0,0,1
806722,"1-bl808(4)-유니(대행,S)6.23-3-IMG_6816.jpg",0,1,0,0,0,0,1
806723,"1-bl808(4)-유니(대행,S)6.23-3-IMG_6822.jpg",0,1,0,0,0,0,1
806724,"1-bl808(4)-유니(대행,S)6.23-3-IMG_6826.jpg",0,1,0,0,0,0,1
806725,"1-bl808(4)-유니(대행,S)6.23-3-IMG_6830.jpg",0,1,0,0,0,0,1
806727,"1-bl808(4)-유니(대행,S)6.23-3-IMG_6839.jpg",0,1,0,0,0,0,1
